review_text,rating,category_text,binary_label,category_label
"Great organizer.: Fits well, works great. Just wish it would be a little taller.",5.0,Home_and_Kitchen,1,18
Just enough room: Perfect size with a nice sturdy cover and back to act as its own writing surface when you're standing.<br />Not too little and not too much area for writing each day.<br />Great size fits in my purse and messenger bag.<br />The low price is the real win here.,5.0,Unknown,1,32
Five Stars: Great Quality.  Nice and solid,5.0,Tools_and_Home_Improvement,1,30
AMAZING: LOVE THE COLORS AND BOOK MARKER...<br />THANK YOU!!!,5.0,Home_and_Kitchen,1,18
"Seem well made, comfortable, and nice fit: I ordered these not knowing how I was going to use them. I normally wear briefs underwear, but have considered wearing boyshorts underwear. Now after having them and trying them on, I've decided to use them as shorts in the summer. I normally wear long tunic shirts and I feel like these will look great with them. Technically they will work as shorts or underwear. I like the black color, how there are no loose strings, the Molasus logo on them, how long they are, the waistband, and how well they fit. They really are quite comfortable to wear. It feels like having nothing on. I'm a larger girl and it was nice to find something that fit well, covered everything, and wasn't uncomfortable.",5.0,Clothing_Shoes_and_Jewelry,1,10
Just what I was looking for: Easy up and down. Light weight. Fits in a bag about 24&#34; in diam. Easy to carry. Plenty of room for 4 chairs and a small snack size table. We have a weekend retreat and in the spring the flies drive you crazy biting. I wanted something I could set up and take down alone without the help of my husband. This work just as I wanted.,5.0,Unknown,1,32
"Beautiful: They are gorgeous,  modern and the pictures ok amazing.  Great frame",5.0,Home_and_Kitchen,1,18
"Cute: my kid is obsessed with my little pony.  She is 4yo and this fit her well, we have used this for Halloween and other days just for fun as well.",5.0,Clothing_Shoes_and_Jewelry,1,10
"East to install, Great price: Could be brighter. Do know about longevity because I haven't had them long.",5.0,Automotive,1,4
Too small: Too small,1.0,Home_and_Kitchen,0,18
TO GO CUPS: Keep cold beer or sumner drinks cold!!<br />Great for in the go,5.0,Health_and_Household,1,16
Five Stars: Tight but good.,5.0,Sports_and_Outdoors,1,28
Only a New England  would understand.: A NEW ENGLAND  FIX ! Living far away from N E this is the the way to stay in touch.,5.0,Grocery_and_Gourmet_Food,1,14
"I had 2 of these pumps break in 3 months: I have had 2 of these pumps break in a 3 month span of time. The first time the buttons came loose and would not register, and the second time the battery died and does not recharge (after 3 weeks or so). This product is complete garbage and a complete waste of money.",1.0,Baby_Products,0,5
I will never travel without the Pack-It Cubes again!: The Eagle Creek Pack-It cubes are well worth the money.  We used these during a recent multi-week trip to Europe and they were great.  We switched hotels every couple of days and they made unpacking and repacking a cinch.  The time saved on re-packing our bags alone make these a no brainer.  It was truly delightful to have my pack as organized and compact on the last day of a month-long trip as on the first day.<br /><br />We bought a variety of sizes and that turned out to be an excellent idea.  As we used clothes we were able to consolidate cubes as necessary.  We stored our dirty clothes in the Eagle Creek compression sacs.<br /><br />I will never travel again without Pack-It Cubes.,5.0,Clothing_Shoes_and_Jewelry,1,10
"feeling knotty: i don't mind foam rolling, however sometimes i have knots that require extra attention. i found a tennis ball was too soft for what i needed so i purchased the lacrosse balls. works like a dream.",5.0,Sports_and_Outdoors,1,28
Super deal: Great light... Very bright 💡,5.0,Home_and_Kitchen,1,18
"So happy I got this! Great product!!: Worked perfectly for our trip to Atlantis, Bahamas! Made sure it didn’t leak a few times before we left. Held up to the Atlantic Ocean, multiple tube and body slides. Great product. Just FYI you can’t take pictures underwater just videos and you have to start the video going above water.",5.0,Cell_Phones_and_Accessories,1,9
perfect: loved everything about this product!!,5.0,Unknown,1,32
Five Stars: A+++++,5.0,Home_and_Kitchen,1,18
Three Stars: OK,3.0,Books,0,7
Luv it: Fabulous,5.0,Movies_and_TV,1,22
Great board at a good price: Bought to replace an old SI3132 board that was spitting BSODs.  This Ableconn works perfectly and required no additional software install on my Win 10 PC.  Exactly what I needed.,5.0,Electronics,1,12
Uncomftrable: Uncomfortable at the least. Definitely can't stretch your back with it on.,1.0,Office_Products,0,24
It’s all good: Very satisfied with this product,5.0,Tools_and_Home_Improvement,1,30
Would reccomend to anyone!: I ordered 4 belts and this one was the 1st of 4 to come in and my youngest couldn't have been happier! Great picture quality! Very pleased with the entire experience. We will order again!!!,5.0,Clothing_Shoes_and_Jewelry,1,10
Nice bang for the buck: Finally a quality tray that holds up for many projects that's a bang for the buck !  Love it,4.0,Tools_and_Home_Improvement,1,30
"Worth Buying!: Just as ordered, I’m using them at work!",5.0,Electronics,1,12
Geet: Loved it,5.0,Home_and_Kitchen,1,18
"Works well, very short charge time!: Product looks good, fits fine.  There's a reason it's cheap.  The charge life of this combination of battery cells is ridiculously short, like an hour or so.  Long enough to allow me to shutdown the laptop cleanly after a power loss (which is all I needed), but not long enough to use it away from a plug.",4.0,Electronics,1,12
Five Stars: Thank you,5.0,Industrial_and_Scientific,1,19
Really Bad: I really did not care for this product. I tried a lot of different ways to prepare them with no success. I will never buy them again.,1.0,Grocery_and_Gourmet_Food,0,14
Love of my life: Love of my life,5.0,Grocery_and_Gourmet_Food,1,14
A MUST BUY!!😍😍: Hair is super cute and came out just like I wanted it too. Super lengthy which is what I was looking for and does not come off for anything. I was super satisfied with my purchase. DEFINITELY BUYING AGAIN. If you’re thinking on buying these I recommend them!! Even came with some lashes 😍which are sooo cuteee!!! The packaging is sooo gorg!! I loved them!!,5.0,Beauty_and_Personal_Care,1,6
"Loved it!: I started reading this book Thursday night and now, Saturday I'm sad it's over. I loved it. So well written!",5.0,Kindle_Store,1,20
Carbom Fibre: Pretty good,4.0,Clothing_Shoes_and_Jewelry,1,10
"Not like real pretezels: This is okay just to get a sense of the taste of a pretzel but they don't have salt and flavorings on them. But I have had worse pretzels but does not justify the excessive cost for the unit, a more honest and reasonalbe price would be $1.99 for the container.",3.0,Grocery_and_Gourmet_Food,0,14
"What a great ending!!!!: I mean how sweet is Rain and River. This story pulls on your heart strings. The secrets that were revealed is sooo juicy. Opens story up to get to know the ""brother's """,5.0,Kindle_Store,1,20
Work great but Velcro wears out fast: Works great for absorption but Velcro wears out and falls off my dog,2.0,Pet_Supplies,0,26
Five Stars: Great product. Three color modes and several brightness options. Nice light.,5.0,Tools_and_Home_Improvement,1,30
great no problems: good product,5.0,Tools_and_Home_Improvement,1,30
not worth the price: the top kept slipping off until I finally lost it. Disappointed that didn't even last me. Now I have to purchase another.,1.0,Cell_Phones_and_Accessories,0,9
Brilliant!!: Best poop I've had since I visited China in 2002!!!,5.0,Health_and_Household,1,16
"Great Guide: We are taking a history tour of Roman Provence this June.  This is an easy read, with a lot of history included.",5.0,Books,1,7
"The watch is very light and looks great. Nice face size: Watch arrived on time. Well packaged. The watch is very light and looks great. Nice face size, not too small. I have received many nice commitments. I collect watches and this one is a keeper.",5.0,Clothing_Shoes_and_Jewelry,1,10
"the hole's do not line up: it will protect my phone , the hole's do not line up, I have to remove the case to charge , or access the memory card,not worth the $",3.0,Cell_Phones_and_Accessories,0,9
"Very High Quality Item: This ID badge is perfect in all aspects!!!  Quality, durability, appearance, and pricing are all PERFECT!!!!  I highly recommend this ID badge to and and all of my friends!!",5.0,Office_Products,1,24
Five Stars: Great price,5.0,Electronics,1,12
"did not find in-store: just what I needed, as described.<br />quality material, fits my phone perfectly.<br />good price, would definitly recomend..",5.0,Cell_Phones_and_Accessories,1,9
"A Rock Classic: A great tshirt that pays homage to a great band and their music.  My 14 year old loved it!  She said ""some lady about your age asked me if I even knew who this band was, and I said 'Yes!!!' "" She got a kick out of that.  It is a classic design.",5.0,Unknown,1,32
Super cute: This is super cute and the shirt is silky soft 💖,5.0,Clothing_Shoes_and_Jewelry,1,10
"Good Hair Product: I really like this product. I love the sweet smell and how soft my hair is when it dries. I was a little worried the first couple of times I used it because my hair was frizzy and didn't feel that great, but I kept using it and after the 3rd time of using it, my hair started to feel awesome. I'm really happy  I kept using it. I'm hooked!",5.0,Beauty_and_Personal_Care,1,6
"Great value: I ordered 5 belts, one of each color. Love them. The design is do clever, you can unscrew the buckle end and cut it shorter if needed, came with a punch to add an additional hole if needed",5.0,Clothing_Shoes_and_Jewelry,1,10
"Beautiful: These earrings are not only beautiful but also made with quality. They are not too heavy & the fit is secure, not flimsy. Stunning, highly recommend.",5.0,Clothing_Shoes_and_Jewelry,1,10
It’s sturdy: It works. It cleans easy. I don’t see anything wrong with it.,5.0,Home_and_Kitchen,1,18
"Natural muscle relaxer: If you have tight, aching muscles, this oil will provide almost instant relief.",5.0,Health_and_Household,1,16
"Beautiful: A wonderful centerpiece to my table.  In perfect condition.  Ordered a second as a gift, and recipient loved as well.",5.0,Home_and_Kitchen,1,18
TOTAL Crap.  Drive shaft was rusted and it spun in my hand it shouldn't do that.  By far the worst: [[VIDEOID:4478ff8e95ac6314b61104935853d724]] Cheep crap that doesn't fit or work the way it's supposed to.,1.0,Toys_and_Games,0,31
King Kong: It’s a perfect fit for a 6 year old,5.0,Unknown,1,32
🧐🧐: Esta fea muy opaco su color,1.0,Home_and_Kitchen,0,18
fit great look good: nice full straight legs. great for work pants or if you like that relaxed fit,5.0,Clothing_Shoes_and_Jewelry,1,10
Lots of storage!: Love it!,5.0,Home_and_Kitchen,1,18
"Designer's must.: It's great, works amazing and for a designer is a must. The only con is that is not wireless.",5.0,Electronics,1,12
Great: Great,5.0,Clothing_Shoes_and_Jewelry,1,10
Freezes my computer: Installs easy and sometimes works but usually freezes my computer. Had to remove,1.0,Electronics,0,12
Great for the price!: Good quality for the price you paid. Will recommend,5.0,Health_and_Household,1,16
"hard to keep an open mind, but overal I am a better person now because I read it: decided to read and discover what the Qur'an was all about.<br /><br />-lots of listing about ways you'll end up in fire in the hereafter (lame)<br />-was surprised how empowering it is for woman (unfortunately it's concepts are usually not followed in real life).<br />-lots of entertaining stories with life lessons<br />- an overall theme of not indulging in worldly pleasures brings happiness (which i agree with).<br /><br />overall a good read.  I am a better person now for reading it.",4.0,Books,1,7
Great little book for information and photos: Needed a reference book for a school project for 9 year old.  Great little book for information and photos.  Will donate to our local library now.,5.0,Books,1,7
Awesomeness: My son loves it,5.0,Unknown,1,32
Great value: These are perfect,5.0,Electronics,1,12
Excellent product / excellent service: Ordered the 25 ft hdmi and received it promptly in 2 days. The cable works great and it is very well built. The quality of the picture is fantastic conaidering the length of the cable. I would order from them again in a heartbeat.,5.0,Electronics,1,12
Five Stars: good price,5.0,Electronics,1,12
Suspenseful with a nicely constructed climax: This is the best book yet by this author. The plot was well crafted with an unanticipated ending.  I like to try to leap ahead and see if I can accurately guess the outcome.  I was able to predict some of the plot but not the actual details which made reading the last several chapters quite engrossing.,5.0,Kindle_Store,1,20
"Very good and beautifully designed: Leather quality is very good. This cover makes the Kindle a little bit heavier (I feel like it's a bit heavier than paperbacks of similar size), thus you may want to use it only when travelling and/or reading in dark rooms. The built-in light provides uneven illumination but I find it tolerable.",4.0,Video_Games,1,33
I returned it: Not very well made,2.0,Home_and_Kitchen,0,18
"Not my favorite.: I returned these bulbs. The first one I removed from the box came apart. Also, the extra hangers to use on the charged bulbs dont have an ""on/off"" switch like others I have bought.",2.0,Tools_and_Home_Improvement,0,30
Will order again.: My parents loved the assortment.... great product and reasonably priced!,5.0,Grocery_and_Gourmet_Food,1,14
"seat stains beyond repair or cleaning: In shock when I removed to clean seat and upholstery stained beyond repair or cleaning and the company has yet to respond to my request to finish was used on beads to try and find a reducer to chemically clean damage ' if you purchase you are on your own, have been warned",1.0,Automotive,0,4
"Top of the plastic is not strong enough to remove the stakes.: Yes, it is strong to put in the ground, but it is not easy to remove it because the plastic is not strong enough to remove the stakes. Plastic is getting breaking does not carry the item.",3.0,Sports_and_Outdoors,0,28
Obsessed much???: I bought this bag for work since we have to have a clear/see thru bag. I love it! I don’t take much in or out but it’s lightweight and doesn’t make you’re back sweaty since it’s mesh there as well. I have ordered 3 more for co-workers that have seen how durable it is and easy to carry :),5.0,Clothing_Shoes_and_Jewelry,1,10
"Good ideas to live by...but you have to be strong!: As a reader of Atlas Shrugged and a fan of the particular ideology that it espouses for the most part, this companion book speaks to the base truths of AS. For the most part, it is about being true to yourself and achieving based on what you want....not what others want for you. The emphasis on doing for you is important... but I think that Ayn Rand and this book leave out taking care of your own.....face it, you are going to have loved ones and have to live in society so it is really impossible to cut everything off and live to the pure ideas of AR. However the message centering around doing for you is very important....many people get too concerned about what others think about them and as a result, do not live up to their full potneital. Take what you can from this book and live by it by all means...it is good advice!",4.0,Kindle_Store,1,20
Don’t recommend: I am writing this review a little late because I wanted to test the cushions before reviewing. The were definitely firm for the first 15days. Then they slowly began to loose the firmness and now they are just like the previous ones that sink in when we sit.,2.0,Arts_Crafts_and_Sewing,0,3
"Expensive but the only way to get quality, comfort and safety: I previously bought a pair of the cheaper no name units you can see all over Amazon. As many have reported they are very uncomfortable in the shin area, they also pinched my feet across the steel stirrup that is too small for my size 10 boots. Very painful to use, and until you use these better units you don't understand how much more difficult the cheap ones are to use.<br />I then decided to apply some upgrades to the cheaper units. I was able to improve them, but I had to heat the steel up and reshape it, and then I added much more padding to the shin area. Very strong and properly fitting straps were not as easy to find as I expected. I added very wide Velcro banding around the shin area that looked some what like these. I was proud of the improvements until I actually went up to trim trees. Better, but not enough to stop the discomfort and pain and get to a point where I could relax and trust them.<br />I was so sick of them that I came out of the first tree after trimming it and immediately ordered these. So expensive that I really tried to avoid it, but these are a night and day difference in comfort, safety and security. I did have to add a fastener to the already existing holes in the ankle strap and the stirrup to help hold them in place when my weight was not on them, but once that was done I feel like I could climb an 80 foot tree and be safe doing it. Without constant pain.<br />Another huge benefit is the spikes on these units are positioned in a way that makes it much easier to get  a secure stab at the tree when climbing or descending. Plus they are up the stirrup a little so the tips don't grind into whatever you are walking on when you are out of the tree, AND they come with leather spike covers. This alone was almost worth the extra cost.<br />The pros have probably never even tried the cheaper junk, and now I know why. These were cheap for pro level gear but much more expensive than the junk I started with. These should be cheaper to be honest, there is not much too them in materials and the design is pretty obvious to anyone with tree climbing experience. But the cheap ones haven't figured it out, so these are the best value.",5.0,Sports_and_Outdoors,1,28
"good read: I'm a big fan of this character and these stories satisfy.  I didn't know that Michael Connelly could write tightly plotted short stories, but, he can.",5.0,Kindle_Store,1,20
"Lightweight and easy to clean!: Ordered this item for our back deck.  It is VERY lightweight, so it's easy to pack up and go.  Would be ideal for camping.  It's easy to clean with just a few sweeps with a broom.  It is also stain resistant due to the plastic type of straw that is used (best way I could explain the texture).<br />Again, with it being lightweight, make sure to have something with some weight on it, or it could easily blow away.  I live in a windy area, and this was of concern.  But, it's fine as long as you put something relatively heavy on it.<br />It also comes with a convenient carry bag, to easily stow away or travel with.",4.0,Patio_Lawn_and_Garden,1,25
"Great price, too: Just what I was looking for!<br />Great price, too.",5.0,Tools_and_Home_Improvement,1,30
Four Stars: It is doing good,4.0,Patio_Lawn_and_Garden,1,25
"looked great!: After running fingers through the beard and hair, it worked wonderful!  The only thing is, if speaking parts are required, it may be a little difficult.",5.0,Clothing_Shoes_and_Jewelry,1,10
A+++++: Love it,5.0,Tools_and_Home_Improvement,1,30
"This app seems like it's in beta...: General, top-down navigation within the app leaves a lot to be desired. It's very clunky. The search tool is abysmal. You have to scroll left and right to select different letters. It's extremely sluggish and not user friendly.<br /><br />The most annoying thing is the fact that anything you watch frequently stutters. HBO hasn't figured out how to buffer properly. I thought this was a result of my connection, but I streamed content from Netflix and Amazon without any stuttering. Even after rebooting the Fire TV HBO programs still stutter. After Googling the problem I saw that it has been an issue for some time and also affects HBO GO.<br /><br />It's obvious they forced this app out before it was ready. Still, you should try the free 30 day trial and see for yourself. They have redone all of The Wire in widescreen HD and it is awesome.<br /><br />I wouldn't pay $15 a month, though.",1.0,Software,0,27
Good quality.: Used when I first pierced my vertical labret. Ball kept coming off but overall good jewelry. Definitely recommend!,5.0,Clothing_Shoes_and_Jewelry,1,10
Beautiful detail!: I absolutely love the celtic detail on this! Beautiful craftsmanship,5.0,Office_Products,1,24
Good quality: Looked so scary good quality,5.0,Toys_and_Games,1,31
Five Stars: Best movie ever.,5.0,Movies_and_TV,1,22
