review_text,rating,category_text,binary_label,category_label
Read it in one day!: Such a great read. I've been waiting for this author write another book and she didn't disappoint.<br /><br />Julia and Miles were great characters. I loved their chemistry and how much humor she put into their characters. The book was book funny and then would turn on a dime and bring so much emotion. I love her writing style and can't wait to read her future work.  If you haven't read her first two books you should check them out.,5.0,Kindle_Store,1,20
pequeño: El número correcto a mi medida es xl-g pero no tenían ese tamaño,5.0,Clothing_Shoes_and_Jewelry,1,10
"Good book, build quality NOT made for kids.: Bought all of this series for my 5-6yr olds (classroom). Taught kids how to properly handle books but still, they dont last long. Books fall apart.",2.0,Books,0,7
Five Stars: Great seller and product,5.0,Unknown,1,32
Five Stars: Great product and great deal!,5.0,Tools_and_Home_Improvement,1,30
AWESOME PRODUCT: Used it when it 1st arrived and works well and great.,5.0,Beauty_and_Personal_Care,1,6
"cheep materials but long for tall ladies. small in the arms but not in the torso.: so the thing about this jacket- i usually wear a size XL in blazers and this said it fit somewhat small, which i know know why. its not that the jacket itself is small it is that the sleeves are slim so if you are a busty lady with slim arms this is PERFECT (with the exception of the lining which was not done correctly at all.) the material is cheep and so is the lining- so if i were to buy this again i would pay $20 for it and not the $49 i spent on it. the color is good i had gotten a 1X and i am glad i did. the arms fit well but i have to take it in around the waist area or i will look like i am swimming in it. on the plus side it you are looking for a long jacket this is the one for you. i am not a petite size but  this was a few inches longer that i probably would have liked.",3.0,Unknown,0,32
"Terri is phenomenal: This book is amazing. I thought Steve was my hero. Terri is such an amazing soul. I felt everything she must have felt. Her love for Steve. Her love for wildlife, for her kids. I felt her pain and her feelings of helplessness, everything.",5.0,Books,1,7
"It's all that I need in a turntable.: I needed a portable turntable to replace one that stopped working when I moved across country.  I love how simple it is to work, and that I can play my old LP vinyls once again!",5.0,Electronics,1,12
"... organizer to hold diapering supplies in my bedroom for easy access in the middle of the night: I bought this organizer to hold diapering supplies in my bedroom for easy access in the middle of the night. Works great so far! It holds a few cloth diapers, disposable diapers, a portable changing pad, wipes, coconut oil, and even has room for our bedtime books!",5.0,Baby_Products,1,5
I love style...and these shoes have it!: I like the style of the shoe because it's not like any that I've seen. Very comfortable fit and surprisingly light weight! I'm considering purchasing another pair in a different color...love 'em!✌💕,5.0,Clothing_Shoes_and_Jewelry,1,10
"awful experience: i received the shipment, 90% of the parts for the cabinet were severely damaged. i sent pictures and they offered to send replacement parts..i was upset, but found that to be acceptable. i opened the box of replacement parts to find they were all damaged ..some at least as bad as before, others far more so..almost like a joke... completely creased seams at the connections etc. i can maybe condone 1 part making it through..but almost the whole set up..TWICE ..i think not. avoid this seller. if they dispute this claim i would be more than happy to supply 2 sets of photos..if it didnt cost me more than i would win, id take them to small claims court.",1.0,Tools_and_Home_Improvement,0,30
Great for backyard BBQ's: Cool beverage holders for a summer BBQ,5.0,Patio_Lawn_and_Garden,1,25
